object,count(*)
person,24564
brass,8798
tray,6486
bookshop,6077
Band_Aid,5743
jersey,5393
scoreboard,5139
carton,4683
street_sign,3966
binder,3848
perfume,3731
cash_machine,3292
bakery,3138
television,3133
hair_spray,3124
tobacco_shop,2675
barbershop,2605
screen,2592
sunscreen,2497
slot,2441
lotion,2202
monitor,2026
cinema,2011
gown,2004
toyshop,1719
analog_clock,1679
crossword_puzzle,1674
maillot,1656
library,1633
rule,1622
brassiere,1621
handkerchief,1615
doormat,1603
bathing_cap,1592
prayer_rug,1586
confectionery,1503
stage,1500
bib,1497
plastic_bag,1442
wig,1436
digital_clock,1375
corn,1324
plate,1272
jean,1264
cassette,1238
seashore,1223
face_powder,1183
diaper,1175
pencil_box,1172
bird,1155
loupe,1151
oscilloscope,1145
theater_curtain,1124
bow_tie,1114
eggnog,1081
pretzel,1049
candle,1048
pick,1043
bikini,1034
swimming_trunks,1017
hair_slide,1009
mousetrap,999
restaurant,966
pillow,935
lakeside,916
umbrella,912
lipstick,912
sunglasses,910
rifle,883
bowl,881
nematode,877
quill,876
electric_guitar,859
dog,858
rubber_eraser,846
altar,845
moving_van,840
teddy,826
nipple,820
shower_cap,819
mask,815
cup,801
pill_bottle,784
lighter,779
can_opener,778
coffee_mug,776
whistle,774
hand_blower,754
laptop,748
cat,747
vending_machine,746
vase,745
sarong,744
grocery_store,737
wall_clock,719
panpipe,714
apron,712
"teddy bear",707
tie,695
pajama,683
matchstick,680
red_wine,679
sleeping_bag,674
sweatshirt,671
crate,664
volcano,662
Christmas_stocking,655
puck,655
horse,655
pizza,649
hoopskirt,647
scale,629
hook,628
balance_beam,625
maze,625
buckle,621
ocarina,614
ballplayer,613
Crock_Pot,608
alp,604
chair,602
abaya,601
safety_pin,599
harmonica,598
toilet_tissue,594
"stop sign",567
butcher_shop,566
Windsor_tie,563
suit,560
clock,556
stopwatch,555
cowboy_hat,553
cake,549
iron,548
lab_coat,538
pickelhaube,536
sombrero,524
groom,519
shield,518
military_uniform,517
paper_towel,516
neck_brace,510
oil_filter,507
toilet_seat,505
throne,490
safe,488
pencil_sharpener,486
chocolate_sauce,483
ping-pong_ball,481
maraca,481
fountain,481
bagel,476
sunglass,475
ice_cream,473
magnetic_compass,471
sax,471
bottle,470
meat_loaf,468
tennis_ball,463
potter's_wheel,461
isopod,454
slide_rule,452
book,451
wallet,444
microphone,438
paintbrush,437
crane,435
fur_coat,432
muzzle,428
nail,427
Dungeness_crab,425
mailbox,425
overskirt,420
racket,417
swab,416
plunger,413
park_bench,412
stole,412
gong,412
shower_curtain,403
balloon,401
corkscrew,400
cornet,400
church,397
bulletproof_vest,397
tricycle,388
screw,387
kite,386
abacus,382
sundial,379
bath_towel,379
cellular_telephone,373
baseball,372
beacon,371
ski,371
shoe_shop,371
spotlight,367
coil,367
sewing_machine,367
jellyfish,363
geyser,362
conch,361
French_loaf,361
coral_reef,359
golf_ball,358
remote_control,357
palace,355
refrigerator,355
stethoscope,354
bottlecap,351
torch,350
bow,349
cliff,348
banana,348
potpie,348
head_cabbage,346
football_helmet,344
orange,344
carousel,341
mountain_bike,341
strawberry,339
miniskirt,338
prison,334
cloak,333
banjo,331
hatchet,331
crash_helmet,331
castle,330
modem,327
parachute,326
dumbbell,325
beer_bottle,325
paddle,324
mailbag,321
screwdriver,320
rotisserie,318
ashcan,314
valley,314
chain,311
wine_bottle,309
electric_ray,308
freight_car,307
hotdog,306
space_shuttle,306
electric_fan,306
