asin	title	subcat1	subcat2	obj1	pb1	obj2	pb2	obj3	pb3	obj4	pb4	obj5	pb5	booksDay
0060838655	A People's History of the United States	New, Used & Rental Textbooks	Humanities	clock	51.8105685711									E
0060850523	Brave New World Paperback	Science Fiction & Fantasy	Science Fiction	person	63.6894404888									D
0061950726	Orphan Train Paperback	Literature & Fiction	Genre Fiction	person	74.1244256496									C
0061992259	The One and Only Ivan Hardcover	Children's Books	Growing Up & Facts of Life	person	59.1637670994									D
0062278789	Divergent / Insurgent / Allegiant Hardcover	Teen & Young Adult	Literature & Fiction	clock	74.2184340954									E
0062345214	Four: A Divergent Collection Hardcover	Teen & Young Adult	Literature & Fiction	clock	96.3483452797									B
0140177396	Of Mice and Men Mass Market Paperback	Politics & Social Sciences	Politics & Government	person	66.3709282875									D
0140501738	Corduroy Paperback	Children's Books	Animals	teddy bear	96.7910885811	stop sign	58.8089585304							D
0142000280	Getting Things Done: The Art of Stress-Free Productivity Paperback	Business & Money	Skills	person	94.7828352451	tie	89.1976594925							E
0142402516	Looking for Alaska Paperback	Teen & Young Adult	Literature & Fiction	person	59.616112709									B
014241493X	Paper Towns Paperback	Teen & Young Adult	Literature & Fiction	vase	73.8488733768									D
014241543X	If I Stay Paperback	Teen & Young Adult	Literature & Fiction	person	62.0203435421									A
0142420891	Where She Went Paperback	Teen & Young Adult	Literature & Fiction	person	92.7778422832									D
0143124544	Me Before You (Me Before You Trilogy) Paperback	Literature & Fiction	Genre Fiction	stop sign	99.9996900558									D
0307341550	Sharp Objects Paperback	Mystery, Thriller & Suspense	Thrillers & Suspense	clock	51.4987945557									E
0307887898	The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses Hardcover	Business & Money	Management & Leadership	clock	55.6144297123									E
0312367546	A Wrinkle in Time (Time Quintet) Paperback	Children's Books	Science Fiction & Fantasy	person	80.528897047									E
0312510780	First 100 Words Hardcover	Children's Books	Education & Reference	cat	99.3098556995	dog	99.9563515186	car	91.7885839939	teddy bear	90.1424050331	person	90.0824487209	E
0312511078	My Big Animal Book (My Big Board Books) Board book	Children's Books	Animals	zebra	99.910223484	dog	97.8813827038	cat	91.7142987251	bird	73.114079237			D
0316322407	I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban Hardcover	Politics & Social Sciences	Politics & Government	person	99.9664664268									E
0316406813	A Grimm Warning (The Land of Stories) Hardcover	Children's Books	Growing Up & Facts of Life	person	76.1116921902									E
0345542924	Top Secret Twenty-One (Stephanie Plum) Hardcover	Humor & Entertainment	Humor	stop sign	51.3468801975									D
0375813659	Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon Paperback	Children's Books	Fairy Tales, Folk Tales & Myths	person	80.8679997921									E
0375858245	Because of Mr. Terupt Paperback	Children's Books	Growing Up & Facts of Life	person	60.4771435261	teddy bear	51.9590139389							E
0385349947	Lean In: Women, Work, and the Will to Lead Hardcover	Biographies & Memoirs	Professionals & Academics	person	99.578332901	cup	57.0217549801							D
0385373791	The Maze Runner Trilogy (Maze Runner) Paperback	Teen & Young Adult	Literature & Fiction	book	71.2141215801									E
0385528205	The Other Wes Moore: One Name, Two Fates Paperback	Politics & Social Sciences	Social Sciences	person	92.8495764732	bicycle	73.2309579849	car	72.0237135887					E
0393244660	Flash Boys Hardcover	History	Americas	dog	88.5327100754	stop sign	62.5987708569							D
0393317552	Guns, Germs, and Steel: The Fates of Human Societies 1st Edition	History	World	person	69.814735651									E
0399230033	Good Night, Gorilla Board book	Children's Books	Growing Up & Facts of Life	person	90.5790448189	dog	50.8505940437							E
0439738199	May I Please Have a Cookie? (Scholastic Readers, Level 1) Paperback	Children's Books	Growing Up & Facts of Life	frisbee	96.4191615582	bird	58.8670372963							E
0470550473	Teach Like a Champion: 49 Techniques that Put Students on the Path to College 1st Edition	New, Used & Rental Textbooks	Education	person	72.4818229675									E
0545669936	Minecraft: Essential Handbook: An Official Mojang Book Hardcover	Children's Books	Activities, Crafts & Games	maze	58.1038475037									D
0553296981	Anne Frank: The Diary of a Young Girl Mass Market Paperback	Biographies & Memoirs	Historical	person	95.9412276745									E
