id,Label,subcat1,subcat2,obj1,pb1,obj2,pb2,obj3,pb3,obj4,pb4,obj5,pb5,obj6,pb6,black,red,green,blue,yellow,magenta,cyan,maroon,purple,orange,gray,white,booksDay,price
0811877825,"Goodnight, Goodnight Construction Site Hardcover","Children's Books","Growing Up & Facts of Life",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.8531679673,0.0,0.0,0.0,0.916248606466,0.0,0.0,3.2736436269,5.39065403196,2.74410070606,70.9076551468,4.91452991453,D,9.83
0385373791,"The Maze Runner Trilogy (Maze Runner) Paperback","Teen & Young Adult","Literature & Fiction",book,95.84767818450928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.5723983068,0.0283914928763,0.0,0.0,0.109049143093,0.0,0.0,3.00562667768,0.400707206277,0.314242205245,28.6347563494,49.9348286186,E,21.34
0553386697,"The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind Paperback","Health, Fitness & Dieting","Psychology & Counseling",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.215390062552,3.07152130296,0.00885164640623,0.0,0.0177032928125,0.0,44.5385341674,1.52248318187,0.29800542901,0.359966953853,9.85188245014,40.115661513,E,7.99
0778801314,"Ball Complete Book of Home Preserving Paperback","Cookbooks, Food & Wine","Canning & Preserving",pill_bottle,76.06164813041687,barrel,86.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.80060748579,1.83470507545,0.0,0.0,3.9045659416,0.0,0.0,33.0932784636,0.338036449148,22.6729374878,17.8522437782,10.5036253184,D,22.83
1476773882,"Conform: Exposing the Truth About Common Core and Public Education (The Control Series) Paperback","Education & Teaching","Schools & Teaching",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.4627964516,2.1785046165,0.0,0.0,0.0,0.0,0.0,0.0362078329612,0.422424717881,0.0633637076821,14.4680465874,71.3686560859,E,8.49
0385738781,"The Death Cure (Maze Runner, Book Three) Paperback","Teen & Young Adult","Literature & Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.4630249379,0.0,0.0,0.0,3.35744359279,0.0,0.0,0.2132138616,0.178128036273,0.129547662744,59.9994602181,13.6591816906,D,4.99
0061950726,"Orphan Train Paperback","Literature & Fiction","Genre Fiction",cash_machine,9.77054089307785,prison,9.560883045196533,person,90.28235077857971,NULL,NULL,NULL,NULL,NULL,NULL,14.5950258611,0.0,0.0,0.0,1.90106745901,0.0,0.0,12.6967095851,1.5186530208,1.00968416419,64.9279190052,3.35094090459,C,6.99
0736430881,"A Day in the Sun (Disney Frozen) (Pictureback(R)) Paperback","Children's Books","Growing Up & Facts of Life",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.61448688272,0.0,0.0,0.0,6.35730131173,0.0,0.0,0.472608024691,0.0217013888889,2.7572820216,16.6726948302,70.1039255401,E,3.35
0385528205,"The Other Wes Moore: One Name, Two Fates Paperback","Politics & Social Sciences","Social Sciences",unicycle,84.53853130340576,bicycle-built-for-two,9.179724752902985,person,92.84957647323608,car,98.91368746757507,bicycle,87.29029893875122,NULL,NULL,14.4399858374,0.0,0.0,0.0,0.0,0.0,0.0,9.73976159566,0.203587867343,0.0,12.0500413077,63.566623392,E,7.99
0679734775,"The House on Mango Street Paperback","Literature & Fiction","Genre Fiction",barbershop,8.41987282037735,"stop sign",99.46156144142151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.96005392573,24.3457108526,0.0,0.0,1.15178335922,0.0,0.0,4.92072330823,0.0146537323056,23.255473169,32.566454676,10.7851469769,D,5.99
