asin	title	subcat1	subcat2	obj1	pb1	obj2	pb2	obj3	pb3	obj4	pb4	obj5	pb5	obj6	pb6	obj7	pb7
0000013714	Heavenly Highway Hymns Hardcover	Arts & Photography	Music	doormat	95.9901273251												
0001983857	Mog's Bad Thing Hardcover	Children's Books	Animals	cat	97.3511815071												
0002117088	Renoir, My Father Hardcover	Biographies & Memoirs	Arts & Literature	handkerchief	69.30565238												
0002154463	Italy, The Beautiful Cookbook: Authentic Recipes from the Regions of Italy Hardcover	Cookbooks, Food & Wine	Regional & International	boat	65.7658338547												
000215854X	America: The Beautiful Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	confectionery	91.3394808769	tobacco_shop	67.57										
0002159317	California, The Beautiful Cookbook: Authentic Recipes from California Hardcover	Cookbooks, Food & Wine	Regional & International	bowl	50.2536416054												
000215949X	Mexico The Beautiful Cookbook: Authentic Recipes from the Regions of Mexico Hardcover	Cookbooks, Food & Wine	Regional & International	bowl	87.0677292347	potted plant	78.6765873432	dining table	55.1611363888	bakery	55.14						
0002250357	Texas the Beautiful Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	barbershop	89.7162139416												
0002250535	Italy Today: The Beautiful Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	bowl	93.5138940811	vase	78.5735487938	bakery	55.9897899628	dining table	52.9282391071						
0002550296	Thailand: The Beautiful Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	broccoli	56.6847383976												
0002550326	Tuscany: The Beautiful Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	bowl	73.5135436058	pizza	60.2474570274										
0002550857	The Best of Italy Hardcover	Cookbooks, Food & Wine	Regional & International	plate	54.9643814564												
0002550865	The Best of France Hardcover	Cookbooks, Food & Wine	Regional & International	wine glass	78.8457453251	orange	77.6265025139	hamper	77.5242328644								
0002551152	Asia: The Beautiful Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	maze	99.5046496391												
0002551489	The Best of Mexico Hardcover	Cookbooks, Food & Wine	Regional & International	plate	91.1897420883	cup	88.6348128319										
0002551497	The Best of China Hardcover	Cookbooks, Food & Wine	Regional & International	vase	89.7119402885	bowl	87.7093493938	grocery_store	58.1678569317								
0002551543	Provence: The Beautiful Cookbook: Authentic Recipes from the Regions of Provence Hardcover	Cookbooks, Food & Wine	Regional & International	dining_table	94.1571354866	bottle	77.7780592442	potted plant	53.9102554321	bowl	51.5427589417	dining table	51.1340498924				
0002551659	Lemons: A Country Garden Cookbook Hardcover	Cookbooks, Food & Wine	Cooking by Ingredient	cake	67.5207495689	orange	54.0853023529										
0002552078	The Best of Spain: A Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	pizza	99.4037270546	acorn_squash	63.9164686203										
000255223X	The Best of India: A Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	Dungeness_crab	60.9112977982												
0002553708	Mediterranean the Beautiful Cookbook: Authentic Recipes from the Mediterranean Lands Hardcover	Cookbooks, Food & Wine	Regional & International	seashore	79.87	boat	62.2158169746										
000255464X	The Best of Beautiful Cookbooks: France, Italy & Mexico [Gift Boxed Set] Hardcover	Cookbooks, Food & Wine	Regional & International	dining_table	94.0884053707	bowl	86.0953450203	potted plant	81.1640799046	bottle	55.6509017944	dining table	54.904705286				
0002554755	The Best of Waffles & Pancakes Hardcover	Cookbooks, Food & Wine	Baking	pomegranate	82.0888519287	pizza	50.139439106										
0002554771	The Best of New Orleans (Best of S) Hardcover	Cookbooks, Food & Wine	Regional & International	pizza	59.5047712326	burrito	54.2904138565										
0002740427	The Unmasking of Oscar Wilde Hardcover	Biographies & Memoirs	Arts & Literature	tie	81.2537968159												
0004119835	``House and Garden`` Book of Romantic Rooms Hardcover	Crafts, Hobbies & Home	Home Improvement & Design	chair	87.0428621769	throne	66.8054580688										
0004705475	Collins Scottish Clan & Family Encyclopedia Hardcover	History	Europe	clock	50.0793457031												
0004709799	Jane's Guns Recognition Guide Paperback	Sports & Outdoors	Hunting & Fishing	rifle	83.0625534058	revolver	70.8631813526										
0004721349	Jane's Pocket Guide: Modern Military Helicopters Hardcover	History	Military	airplane	83.4454894066	swing	64.7911071777										
0005235073	Country & Western Gospel Hymnal Volume One: Large Book Paperback	Arts & Photography	Music	clock	98.8598942757	bell_cote	94.1851615906										
0005448506	The Best of Country and Western Gospel Hymnal Spiral-bound	Arts & Photography	Music	clock	81.445980072												
0006180116	Heavenly Highway Hymns Hardcover	Arts & Photography	Music	jersey	63.8606667519	doormat	62.1253848076										
0006458718	Country & Western Gospel Hymnal Volume Three Paperback	Arts & Photography	Music	clock	99.6581614017												
0006531547	Watching the Tree: A Chinese Daughter Reflects on Happiness, Spiritual Beliefs and Universal Wisdom Paperback	Religion & Spirituality	New Age & Spirituality	plastic_bag	79.626172781												
0006640338	Mog and Bunny Paperback	Children's Books	Animals	teddy bear	68.7235534191	tabby	52.76										
0006647448	Paddington at the Zoo Paperback	Children's Books		bird	70.2097058296	teddy bear	57.3928415775										
0006755283	Black Maria Paperback	Teen & Young Adult	Science Fiction & Fantasy	toyshop	82.0058524609	bird	65.2791500092										
0007100450	Abarat: Days of Magic, Nights of War (Bk.2) Hardcover	Literature & Fiction	Contemporary	dog	89.0159130096												
0007101082	Peril’s Gate: Third Book of The Alliance of Light (The Wars of Light and Shadow, Book 6) (The Wars of Light and Shadow series) Paperback	Literature & Fiction	Genre Fiction	unicycle	89.4478797913	horse	59.4644606113										
0007101112	To Ride Hell’s Chasm Paperback	Literature & Fiction	Genre Fiction	bird	67.6264703274												
0007101147	Traitor’s Knot: Fourth Book of The Alliance of Light (The Wars of Light and Shadow, Book 7) (The Wars of Light and Shadow series) (Bk. 4) Paperback	Mystery, Thriller & Suspense	Thrillers & Suspense	bird	50.2685546875												
0007104022	Vikings Paperback	History	World	vase	64.170897007												
0007104065	Stop Smoking in One Hour: Play the CD… just once… and never smoke again! (Listen Just Once to the CD and Youll Never Smoke Again!) Paperback	Health, Fitness & Dieting	Diseases & Physical Ailments	stop sign	94.4351136684												
0007104405	Paddington at the Palace Paperback	Children's Books	Classics	teddy bear	88.3689582348												
0007107188	Toro! Toro! Paperback	Children's Books	Literature & Fiction	stop sign	82.0605933666	cow	68.8732564449	airplane	65.0699794292								
0007112998	The Dance Paperback	Self-Help	Personal Transformation	jersey	93.3689594269												
0007133103	Endometriosis: A Key to Healing Through Nutrition Paperback	Health, Fitness & Dieting	Diseases & Physical Ailments	hair_slide	94.383007288												
000713326X	Taking Risks with Watercolour Hardcover	Arts & Photography	Painting	bottle	57.410377264												
