object,count(*)
abacus,382
abaya,601
academic_gown,253
accordion,304
acorn,193
acorn_squash,162
acoustic_guitar,176
Afghan_hound,97
African_chameleon,123
African_crocodile,51
African_elephant,52
African_grey,69
aircraft_carrier,121
airplane,133
airship,256
alp,604
altar,845
ambulance,223
American_alligator,125
American_lobster,143
amphibian,125
analog_clock,1679
ant,200
apiary,56
apple,253
apron,712
Arabian_camel,203
artichoke,90
ashcan,314
assault_rifle,194
axolotl,55
backpack,257
badger,67
bagel,476
bakery,3138
balance_beam,625
balloon,401
ballplayer,613
ballpoint,157
banana,348
banded_gecko,178
Band_Aid,5743
banjo,331
bannister,243
barbell,208
barbershop,2605
barber_chair,216
barn,300
barn_spider,88
barometer,217
barracouta,122
barrel,288
barrow,95
baseball,372
"baseball bat",51
basketball,247
basset,66
bassinet,53
bassoon,161
bathing_cap,1592
bathtub,175
bath_towel,379
beacon,371
beagle,56
beaker,171
bear,75
bearskin,224
beaver,90
bed,209
bee,98
beer_bottle,325
beer_glass,226
bell_cote,255
bell_pepper,172
bench,83
bib,1497
bicycle,184
bicycle-built-for-two,215
bighorn,56
bikini,1034
binder,3848
binoculars,183
bird,1155
birdhouse,268
bloodhound,80
boat,191
boathouse,140
bobsled,240
bolete,149
bolo_tie,193
bonnet,271
book,451
bookcase,183
bookshop,6077
borzoi,66
Boston_bull,72
bottle,470
bottlecap,351
Bouvier_des_Flandres,131
bow,349
bowl,881
bow_tie,1114
brass,8798
brassiere,1621
breakwater,73
breastplate,255
broccoli,207
broom,226
brown_bear,84
bubble,278
bucket,236
buckeye,157
buckle,621
bulletproof_vest,397
burrito,188
bus,68
butcher_shop,566
butternut_squash,139
cab,267
cake,549
caldron,200
candle,1048
cannon,54
canoe,89
can_opener,778
car,261
carbonara,144
cardigan,123
carousel,341
carpenter's_kit,258
carrot,116
carton,4683
car_mirror,64
car_wheel,58
cash_machine,3292
cassette,1238
cassette_player,97
castle,330
cat,747
catamaran,54
cauliflower,229
CD_player,56
"cell phone",79
cello,137
cellular_telephone,373
centipede,87
chain,311
chainlink_fence,252
chain_mail,150
chain_saw,299
chair,602
chambered_nautilus,289
cheeseburger,156
cheetah,60
Chesapeake_Bay_retriever,52
chest,155
Chihuahua,300
chime,131
chimpanzee,155
chiton,64
chocolate_sauce,483
chow,65
Christmas_stocking,655
church,397
cinema,2011
cleaver,282
cliff,348
cloak,333
clock,556
clog,140
clumber,66
cock,57
cocker_spaniel,62
cockroach,162
cocktail_shaker,130
coffeepot,120
coffee_mug,776
coho,219
coil,367
combination_lock,149
common_iguana,60
computer_keyboard,82
conch,361
confectionery,1503
consomme,208
container_ship,141
coral_reef,359
corkscrew,400
corn,1324
cornet,400
couch,55
cougar,69
cow,116
cowboy_boot,248
cowboy_hat,553
coyote,51
cradle,131
crane,435
crash_helmet,331
crate,664
crayfish,292
crib,162
Crock_Pot,608
croquet_ball,288
crossword_puzzle,1674
crutch,102
cucumber,275
cuirass,124
cup,801
custard_apple,133
daisy,91
dalmatian,64
dam,106
desk,212
desktop_computer,87
dial_telephone,80
diaper,1175
digital_clock,1375
digital_watch,208
dingo,64
"dining table",220
dining_table,291
dishwasher,74
dog,858
dogsled,147
dome,197
donut,238
doormat,1603
dough,193
dragonfly,82
drilling_platform,241
drum,237
drumstick,247
dugong,151
dumbbell,325
Dungeness_crab,425
Dutch_oven,99
ear,164
earthstar,52
eel,70
eggnog,1081
Egyptian_cat,148
electric_fan,306
electric_guitar,859
electric_ray,308
elephant,100
Eskimo_dog,64
espresso,189
espresso_maker,127
face_powder,1183
feather_boa,133
fig,216
file,56
fire_engine,153
fire_screen,303
flagpole,119
flute,234
folding_chair,243
football_helmet,344
fork,115
forklift,59
fountain,481
fountain_pen,145
four-poster,77
freight_car,307
French_horn,137
French_loaf,361
frilled_lizard,138
frisbee,155
frying_pan,301
fur_coat,432
gar,92
garbage_truck,130
gasmask,158
gas_pump,279
German_shepherd,63
geyser,362
giant_panda,105
giraffe,58
go-kart,92
goblet,193
golden_retriever,112
goldfish,118
golf_ball,358
gondola,67
gong,412
goose,77
gorilla,159
gown,2004
grand_piano,160
Granny_Smith,289
Great_Dane,71
great_white_shark,185
greenhouse,53
green_mamba,120
grey_whale,91
grocery_store,737
groenendael,149
groom,519
ground_beetle,56
guacamole,221
guillotine,281
guinea_pig,137
gyromitra,75
hair_slide,1009
hair_spray,3124
half_track,161
hammer,305
hammerhead,157
hamper,272
hamster,105
hand-held_computer,270
handbag,88
handkerchief,1615
hand_blower,754
hard_disc,249
hare,157
harmonica,598
harp,140
harvester,103
hatchet,331
head_cabbage,346
hen-of-the-woods,164
hermit_crab,71
hip,73
hippopotamus,91
hog,162
home_theater,89
honeycomb,276
hook,628
hoopskirt,647
horizontal_bar,109
horned_viper,137
horse,655
horse_cart,187
hotdog,306
hot_pot,166
hourglass,193
hummingbird,59
ibex,105
ice_bear,239
ice_cream,473
ice_lolly,247
Indian_cobra,132
Indian_elephant,123
indri,67
iPod,205
Irish_setter,105
Irish_water_spaniel,79
iron,548
isopod,454
jack-o'-lantern,136
jaguar,88
jean,1264
jellyfish,363
jersey,5393
jinrikisha,116
joystick,209
kelpie,70
killer_whale,255
kimono,263
king_crab,238
king_penguin,63
kite,386
knee_pad,182
knot,237
kuvasz,143
Labrador_retriever,139
lab_coat,538
ladle,175
Lakeland_terrier,67
lakeside,916
lampshade,73
laptop,748
lawn_mower,186
leatherback_turtle,132
lemon,95
lens_cap,58
leopard,65
letter_opener,124
library,1633
lighter,779
limousine,90
liner,114
lion,57
lipstick,912
llama,77
Loafer,75
loggerhead,92
lotion,2202
loudspeaker,72
loupe,1151
lumbermill,120
lynx,66
macaque,62
macaw,87
Madagascar_cat,53
magnetic_compass,471
mailbag,321
mailbox,425
maillot,1656
malamute,67
malinois,60
manhole_cover,160
mantis,67
maraca,481
marimba,254
marmoset,64
mashed_potato,51
mask,815
matchstick,680
maypole,68
maze,625
measuring_cup,226
meat_loaf,468
medicine_chest,79
meerkat,88
megalith,89
Mexican_hairless,59
microphone,438
microwave,158
military_uniform,517
milk_can,100
minibus,54
miniskirt,338
mink,73
missile,78
mitten,52
mixing_bowl,139
modem,327
monastery,185
monitor,2026
moped,108
mortar,201
